PlayerVelocity,CurrentMood, Jumping, Sprinting, Health, PlayerLocationX, PlayerLocationY
600.00,EAudioMood::Action, 0, 0, 40.00, 4029.56, 2465.06
701.18,EAudioMood::Action, 1, 0, 40.00, 4199.70, 2314.29
673.37,EAudioMood::Action, 1, 0, 40.00, 4088.90, 1119.41
1200.00,EAudioMood::Action, 0, 1, 40.00, 3941.13, 1707.49
1200.00,EAudioMood::Action, 0, 1, 40.00, 5352.12, 1373.68
600.00,EAudioMood::Action, 0, 0, 40.00, 5663.91, 1250.76
603.93,EAudioMood::Action, 1, 0, 40.00, 5477.38, 2430.96
600.00,EAudioMood::Action, 0, 0, 40.00, 5529.11, 1816.77
1200.00,EAudioMood::Action, 0, 1, 40.00, 5020.51, 669.18
1210.44,EAudioMood::Action, 1, 1, 40.00, 3235.65, 1935.24
600.00,EAudioMood::Action, 0, 0, 40.00, 2010.86, 1449.30
600.00,EAudioMood::Action, 0, 0, 20.00, 1910.99, 527.54
600.00,EAudioMood::Action, 0, 0, 20.00, 2296.60, 1131.55
600.00,EAudioMood::Action, 0, 0, 20.00, 1193.06, 1234.04
600.00,EAudioMood::Action, 0, 0, 20.00, 431.46, 973.15
600.00,EAudioMood::Action, 0, 0, 20.00, 541.97, 2156.39
600.00,EAudioMood::Action, 0, 0, 20.00, 1272.17, 2292.54
1200.00,EAudioMood::Action, 0, 1, 20.00, 667.27, 659.72
1269.08,EAudioMood::Action, 1, 1, 20.00, 2960.21, 802.31
600.00,EAudioMood::Action, 0, 0, 20.00, 3952.99, 825.22
600.00,EAudioMood::Action, 0, 0, 20.00, 4295.52, 1589.28
600.00,EAudioMood::Action, 0, 0, 20.00, 4034.88, 2760.31
600.00,EAudioMood::Action, 0, 0, 20.00, 4442.27, 2373.28
600.00,EAudioMood::Action, 0, 0, 20.00, 5288.22, 2845.79
600.00,EAudioMood::Action, 0, 0, 20.00, 5533.45, 1731.35
48.16,EAudioMood::Action, 0, 0, 20.00, 5505.51, 592.05
625.00,EAudioMood::Action, 1, 0, 20.00, 5440.25, 1713.15
600.00,EAudioMood::Action, 0, 0, 20.00, 4627.51, 2256.28
1200.00,EAudioMood::Action, 0, 1, 20.00, 3523.94, 775.95
1242.76,EAudioMood::Action, 1, 1, 20.00, 1821.42, 2453.36
1263.50,EAudioMood::Action, 1, 1, 20.00, 3095.77, 1825.41
1200.00,EAudioMood::Action, 0, 1, 20.00, 5295.58, 1162.79
1206.60,EAudioMood::Action, 1, 1, 20.00, 5457.50, 952.69
826.88,EAudioMood::Action, 1, 1, 20.00, 4983.69, 2891.76
1200.86,EAudioMood::Action, 1, 0, 20.00, 2861.98, 2645.88
0.00,EAudioMood::Calm, 0, 0, 100.00, 900.00, 850.00
600.00,EAudioMood::Calm, 0, 0, 100.00, 1082.30, 1446.50
600.00,EAudioMood::Calm, 0, 0, 100.00, 423.50, 2436.00
600.00,EAudioMood::Calm, 0, 0, 100.00, 1242.02, 3065.83
1200.00,EAudioMood::Tense, 0, 1, 100.00, 2424.86, 1796.85
1200.00,EAudioMood::Tense, 0, 1, 100.00, 1432.55, 285.76
1200.00,EAudioMood::Tense, 0, 1, 100.00, 389.76, 1895.75
1200.00,EAudioMood::Tense, 0, 1, 100.00, 2173.48, 1376.13
600.00,EAudioMood::Action, 0, 0, 100.00, 3550.84, 706.68
856.00,EAudioMood::Action, 0, 1, 100.00, 4039.15, 1412.67
1200.00,EAudioMood::Action, 0, 1, 100.00, 4532.98, 2812.25
1200.00,EAudioMood::Action, 0, 1, 100.00, 4195.28, 536.92
1200.00,EAudioMood::Action, 0, 1, 100.00, 4002.78, 2242.14
600.00,EAudioMood::Calm, 0, 0, 100.00, 2688.01, 1775.32
600.00,EAudioMood::Calm, 0, 0, 100.00, 2668.05, 587.99
600.00,EAudioMood::Calm, 0, 0, 80.00, 1597.86, 743.61
1200.00,EAudioMood::Tense, 0, 1, 80.00, 225.00, 1406.16
600.00,EAudioMood::Calm, 0, 0, 80.00, 992.77, 3129.93
600.00,EAudioMood::Calm, 0, 0, 80.00, 2139.54, 2886.73
0.00,EAudioMood::Calm, 0, 0, 80.00, 2491.14, 1894.71
0.00,EAudioMood::Calm, 0, 0, 80.00, 2491.14, 1894.71
0.00,EAudioMood::Calm, 0, 0, 80.00, 2491.14, 1894.71
240.33,EAudioMood::Calm, 1, 0, 80.00, 2491.14, 1894.71
273.00,EAudioMood::Calm, 1, 0, 80.00, 2491.14, 1894.71
248.50,EAudioMood::Calm, 1, 0, 80.00, 2491.14, 1894.71
1200.00,EAudioMood::Tense, 0, 1, 80.00, 2259.53, 843.61
1263.50,EAudioMood::Tense, 1, 1, 80.00, 551.20, 1265.62
1065.68,EAudioMood::Tense, 0, 1, 80.00, 2250.27, 2617.25
825.79,EAudioMood::Tense, 1, 1, 80.00, 2382.57, 1961.31
1207.05,EAudioMood::Tense, 1, 1, 80.00, 633.92, 2213.61
633.22,EAudioMood::Tense, 0, 1, 80.00, 446.27, 401.15
600.00,EAudioMood::Calm, 0, 0, 80.00, 597.32, 2222.20
1200.00,EAudioMood::Tense, 0, 1, 80.00, 1953.03, 2374.60
1253.99,EAudioMood::Calm, 1, 0, 80.00, 1938.64, 1170.00
600.00,EAudioMood::Calm, 0, 0, 80.00, 2826.25, 1097.99
600.00,EAudioMood::Action, 0, 0, 80.00, 3814.89, 1710.15
600.01,EAudioMood::Action, 1, 0, 80.00, 3897.10, 1890.08
609.74,EAudioMood::Action, 1, 0, 80.00, 4042.56, 745.45
600.00,EAudioMood::Action, 0, 0, 80.00, 4301.83, 1185.99
0.00,EAudioMood::Action, 0, 0, 80.00, 4227.14, 2323.02
0.00,EAudioMood::Action, 0, 0, 80.00, 4227.14, 2323.02
0.00,EAudioMood::Action, 0, 0, 80.00, 4227.14, 2323.02
0.00,EAudioMood::Action, 0, 0, 80.00, 4227.14, 2323.02
600.00,EAudioMood::Action, 0, 0, 80.00, 4356.29, 1375.04
600.00,EAudioMood::Calm, 0, 0, 80.00, 5124.09, 2054.24
1150.62,EAudioMood::Tense, 0, 1, 80.00, 5444.38, 2797.43
600.00,EAudioMood::Calm, 0, 0, 80.00, 5282.76, 861.44
600.00,EAudioMood::Calm, 0, 0, 80.00, 5095.66, 2035.21
600.00,EAudioMood::Calm, 0, 0, 80.00, 5298.76, 2619.90
600.00,EAudioMood::Action, 0, 0, 80.00, 4591.50, 1915.64
1200.00,EAudioMood::Action, 0, 1, 80.00, 3649.57, 2180.43
1200.00,EAudioMood::Calm, 0, 1, 80.00, 1714.87, 2796.24
1103.66,EAudioMood::Tense, 0, 1, 80.00, 689.20, 1677.94
1200.00,EAudioMood::Tense, 0, 1, 80.00, 1924.94, 2569.16
1200.00,EAudioMood::Tense, 0, 1, 60.00, 1198.85, 466.10
663.77,EAudioMood::Calm, 0, 0, 60.00, 633.80, 2622.32
600.00,EAudioMood::Calm, 0, 0, 60.00, 1754.38, 2515.14
1200.00,EAudioMood::Tense, 0, 1, 60.00, 3097.37, 2713.63
1200.00,EAudioMood::Tense, 0, 1, 60.00, 2835.66, 486.59
1200.00,EAudioMood::Tense, 0, 1, 60.00, 671.31, 836.05
1247.10,EAudioMood::Tense, 1, 1, 60.00, 791.23, 3192.24
1208.41,EAudioMood::Tense, 1, 1, 60.00, 2556.80, 2057.77
1200.00,EAudioMood::Tense, 0, 1, 60.00, 2035.23, 351.02
1200.00,EAudioMood::Tense, 0, 1, 60.00, 796.07, 1613.65
600.00,EAudioMood::Calm, 0, 0, 60.00, 1750.61, 3009.84
600.00,EAudioMood::Calm, 0, 0, 60.00, 2879.62, 2640.71
600.00,EAudioMood::Calm, 0, 0, 60.00, 3120.20, 1518.07
1200.00,EAudioMood::Tense, 0, 1, 60.00, 2577.55, 2591.81
1200.00,EAudioMood::Tense, 0, 1, 60.00, 650.24, 2659.39
1200.00,EAudioMood::Tense, 0, 1, 60.00, 764.85, 465.08
600.00,EAudioMood::Calm, 0, 0, 60.00, 2084.63, 604.76
600.00,EAudioMood::Action, 0, 0, 40.00, 997.56, 702.48
1200.00,EAudioMood::Action, 0, 1, 40.00, 201.96, 2004.60
1200.00,EAudioMood::Action, 0, 1, 40.00, 1803.17, 2883.57
1207.53,EAudioMood::Action, 1, 1, 40.00, 658.39, 1007.23
1200.00,EAudioMood::Action, 0, 1, 40.00, 449.72, 2446.18
1232.50,EAudioMood::Action, 1, 1, 40.00, 2196.53, 1763.60
600.00,EAudioMood::Action, 0, 0, 40.00, 2368.16, 1351.20
600.00,EAudioMood::Action, 0, 0, 40.00, 3260.84, 1609.89
600.00,EAudioMood::Action, 0, 0, 40.00, 3776.73, 2586.60
1200.00,EAudioMood::Action, 0, 1, 40.00, 4134.63, 1917.59
1200.00,EAudioMood::Action, 0, 1, 40.00, 2055.16, 2416.64
964.87,EAudioMood::Action, 1, 1, 40.00, 1164.48, 2119.15
600.00,EAudioMood::Action, 0, 0, 20.00, 1949.71, 689.58
1200.00,EAudioMood::Action, 0, 1, 20.00, 2908.65, 1835.26
1200.00,EAudioMood::Action, 0, 1, 20.00, 1579.34, 3048.63
1244.90,EAudioMood::Action, 1, 1, 20.00, 431.94, 1174.60
1200.82,EAudioMood::Action, 1, 1, 20.00, 2310.76, 773.73
1240.52,EAudioMood::Action, 1, 1, 20.00, 2394.71, 2744.48
1200.00,EAudioMood::Action, 0, 1, 20.00, 471.96, 1876.45
1200.00,EAudioMood::Action, 0, 1, 20.00, 1708.68, 553.53
1217.84,EAudioMood::Action, 1, 1, 20.00, 3101.65, 2068.25
1144.96,EAudioMood::Action, 0, 1, 20.00, 1542.45, 3001.36
1200.00,EAudioMood::Action, 0, 1, 20.00, 576.13, 1247.42
1266.45,EAudioMood::Action, 1, 0, 20.00, 2361.07, 1418.11
600.00,EAudioMood::Calm, 0, 0, 100.00, 932.42, 1210.50
1200.00,EAudioMood::Tense, 0, 1, 100.00, 367.48, 2535.07
600.00,EAudioMood::Calm, 0, 0, 100.00, 2217.80, 2848.70
600.00,EAudioMood::Calm, 0, 0, 100.00, 2858.95, 1850.28
600.00,EAudioMood::Calm, 0, 0, 100.00, 2818.17, 701.67
659.67,EAudioMood::Calm, 1, 0, 100.00, 1690.06, 332.65
1249.35,EAudioMood::Tense, 1, 1, 100.00, 572.88, 1529.77
1210.60,EAudioMood::Tense, 1, 1, 100.00, 1645.09, 3088.27
1202.54,EAudioMood::Calm, 1, 0, 100.00, 2984.21, 1473.93
600.00,EAudioMood::Calm, 0, 0, 100.00, 2331.09, 354.62
1200.00,EAudioMood::Tense, 0, 1, 100.00, 591.67, 699.08
1200.07,EAudioMood::Tense, 1, 1, 100.00, 1222.16, 2813.63
600.00,EAudioMood::Calm, 0, 0, 100.00, 3048.62, 2339.28
600.00,EAudioMood::Calm, 0, 0, 100.00, 2439.87, 2394.28
600.00,EAudioMood::Calm, 0, 0, 100.00, 1512.39, 3090.01
600.00,EAudioMood::Calm, 0, 0, 100.00, 603.16, 2628.24
1200.00,EAudioMood::Tense, 0, 1, 100.00, 421.09, 947.48
1200.00,EAudioMood::Tense, 0, 1, 100.00, 2241.57, 956.92
600.00,EAudioMood::Calm, 0, 0, 100.00, 1615.21, 1996.05
600.00,EAudioMood::Calm, 0, 0, 100.00, 825.60, 1685.07
600.00,EAudioMood::Calm, 0, 0, 100.00, 531.40, 2749.24
1200.00,EAudioMood::Tense, 0, 1, 100.00, 691.03, 1989.61
1200.00,EAudioMood::Tense, 0, 1, 100.00, 1423.18, 359.34
600.00,EAudioMood::Calm, 0, 0, 100.00, 1936.93, 1997.44
600.00,EAudioMood::Calm, 0, 0, 100.00, 1534.27, 2035.23
600.00,EAudioMood::Calm, 0, 0, 100.00, 2708.38, 1803.86
600.00,EAudioMood::Action, 0, 0, 100.00, 3780.42, 1340.91
600.00,EAudioMood::Action, 0, 0, 100.00, 4097.09, 2452.02
0.00,EAudioMood::Action, 0, 0, 100.00, 4422.15, 2083.21
0.00,EAudioMood::Action, 0, 0, 100.00, 4422.15, 2083.21
0.00,EAudioMood::Action, 0, 0, 100.00, 4422.15, 2083.21
68.27,EAudioMood::Action, 0, 0, 100.00, 4422.16, 2081.79
600.00,EAudioMood::Action, 0, 0, 100.00, 4427.59, 948.61
600.00,EAudioMood::Action, 0, 0, 100.00, 4219.51, 1303.95
600.00,EAudioMood::Calm, 0, 0, 100.00, 5242.15, 767.34
600.00,EAudioMood::Calm, 0, 0, 100.00, 5295.22, 1933.67
591.85,EAudioMood::Calm, 1, 0, 100.00, 5529.58, 2731.73
677.12,EAudioMood::Calm, 1, 0, 100.00, 5483.27, 1788.24
600.00,EAudioMood::Calm, 0, 0, 100.00, 5312.08, 639.54
600.00,EAudioMood::Action, 0, 0, 100.00, 4523.68, 1171.13
600.00,EAudioMood::Action, 0, 0, 100.00, 4388.16, 2349.82
1204.28,EAudioMood::Action, 1, 1, 100.00, 4591.15, 1219.13
1200.00,EAudioMood::Action, 0, 1, 100.00, 4231.53, 1744.24
600.00,EAudioMood::Action, 0, 0, 100.00, 3955.30, 2454.72
1200.00,EAudioMood::Tense, 0, 1, 100.00, 2904.74, 2634.77
1201.15,EAudioMood::Tense, 1, 1, 100.00, 859.16, 2679.40
1216.47,EAudioMood::Tense, 1, 1, 100.00, 1017.86, 571.10
1200.00,EAudioMood::Tense, 0, 1, 100.00, 2366.20, 1519.58
1261.32,EAudioMood::Tense, 1, 1, 100.00, 1273.90, 2740.81
1190.59,EAudioMood::Calm, 1, 0, 100.00, 1087.39, 501.97
600.00,EAudioMood::Calm, 0, 0, 80.00, 1536.00, 830.67
1200.00,EAudioMood::Tense, 0, 1, 80.00, 548.55, 1605.07
1224.06,EAudioMood::Tense, 1, 1, 80.00, 2245.94, 2688.75
1223.83,EAudioMood::Tense, 1, 1, 80.00, 2299.88, 725.02
600.00,EAudioMood::Calm, 0, 0, 80.00, 409.71, 534.48
600.00,EAudioMood::Calm, 0, 0, 80.00, 418.52, 1725.15
600.00,EAudioMood::Calm, 0, 0, 80.00, 430.66, 2884.26
1200.00,EAudioMood::Tense, 0, 1, 80.00, 2264.31, 3042.95
1194.32,EAudioMood::Tense, 1, 1, 80.00, 2623.72, 951.95
1200.00,EAudioMood::Tense, 0, 1, 80.00, 2153.74, 1700.46
600.00,EAudioMood::Calm, 0, 0, 80.00, 733.73, 917.72
600.00,EAudioMood::Calm, 0, 0, 80.00, 564.91, 2084.84
600.00,EAudioMood::Calm, 0, 0, 80.00, 1012.08, 2976.05
1200.00,EAudioMood::Tense, 0, 1, 80.00, 2389.16, 2896.48
600.00,EAudioMood::Calm, 0, 0, 80.00, 2784.77, 888.68
1200.00,EAudioMood::Tense, 0, 1, 80.00, 1367.38, 305.41
1200.00,EAudioMood::Tense, 0, 1, 80.00, 560.46, 2258.94
600.00,EAudioMood::Calm, 0, 0, 80.00, 2407.94, 2527.00
600.00,EAudioMood::Calm, 0, 0, 80.00, 2887.67, 1999.54
600.00,EAudioMood::Calm, 0, 0, 80.00, 2884.30, 1750.60
600.00,EAudioMood::Calm, 0, 0, 80.00, 3182.21, 2175.34
600.00,EAudioMood::Calm, 0, 0, 80.00, 3261.26, 2528.05
0.00,EAudioMood::Calm, 0, 0, 80.00, 2591.18, 2452.66
0.00,EAudioMood::Calm, 0, 0, 80.00, 2591.18, 2452.66
0.00,EAudioMood::Calm, 0, 0, 80.00, 2591.18, 2452.66
404.84,EAudioMood::Calm, 1, 0, 80.00, 2591.18, 2452.66
86.34,EAudioMood::Calm, 1, 0, 80.00, 2591.18, 2452.66
0.00,EAudioMood::Calm, 0, 0, 80.00, 2591.18, 2452.66
21.00,EAudioMood::Calm, 1, 0, 80.00, 2591.18, 2452.66
176.18,EAudioMood::Calm, 1, 0, 80.00, 2591.18, 2452.66
600.00,EAudioMood::Calm, 0, 0, 80.00, 1928.20, 2344.95
1200.00,EAudioMood::Tense, 0, 1, 80.00, 2489.45, 723.49
600.00,EAudioMood::Calm, 0, 0, 80.00, 369.75, 609.47
1159.93,EAudioMood::Tense, 1, 1, 80.00, 587.32, 2389.18
1200.00,EAudioMood::Tense, 0, 1, 80.00, 1507.33, 1287.27
600.00,EAudioMood::Calm, 0, 0, 60.00, 2417.83, 1060.50
600.00,EAudioMood::Calm, 0, 0, 60.00, 2247.34, 1939.79
600.00,EAudioMood::Calm, 0, 0, 60.00, 1080.74, 2220.90
600.00,EAudioMood::Calm, 0, 0, 60.00, 1465.40, 2808.85
600.00,EAudioMood::Calm, 0, 0, 60.00, 2161.14, 2262.08
0.00,EAudioMood::Calm, 0, 0, 60.00, 2185.51, 2134.87
0.00,EAudioMood::Calm, 0, 0, 60.00, 2185.51, 2134.87
0.00,EAudioMood::Calm, 0, 0, 60.00, 2185.51, 2134.87
511.88,EAudioMood::Calm, 0, 0, 60.00, 2244.66, 2105.28
1129.03,EAudioMood::Tense, 0, 1, 60.00, 3018.67, 1614.49
1200.00,EAudioMood::Tense, 0, 1, 60.00, 1588.97, 363.58
1238.32,EAudioMood::Tense, 1, 1, 60.00, 649.45, 2222.12
1200.00,EAudioMood::Tense, 0, 1, 60.00, 2127.21, 2815.72
1201.53,EAudioMood::Tense, 1, 1, 60.00, 2375.41, 851.40
600.00,EAudioMood::Calm, 0, 0, 60.00, 517.27, 847.85
600.00,EAudioMood::Calm, 0, 0, 60.00, 487.91, 2044.05
600.00,EAudioMood::Calm, 0, 0, 60.00, 1084.08, 2747.41
600.00,EAudioMood::Calm, 0, 0, 60.00, 2221.28, 2639.12
600.00,EAudioMood::Calm, 0, 0, 60.00, 2795.86, 1721.79
600.00,EAudioMood::Calm, 0, 0, 60.00, 2280.83, 690.38
600.00,EAudioMood::Action, 0, 0, 40.00, 1186.78, 963.47
1211.70,EAudioMood::Action, 1, 0, 40.00, 598.04, 2744.29
600.00,EAudioMood::Action, 0, 0, 40.00, 1720.26, 3067.71
600.00,EAudioMood::Action, 0, 0, 40.00, 2917.41, 3027.03
1200.00,EAudioMood::Action, 0, 1, 40.00, 4096.89, 2210.11
1200.00,EAudioMood::Action, 0, 1, 40.00, 5249.67, 590.86
1094.41,EAudioMood::Action, 0, 1, 40.00, 5320.52, 2367.42
1200.00,EAudioMood::Action, 0, 1, 40.00, 4593.33, 1376.71
1215.34,EAudioMood::Action, 1, 1, 40.00, 2640.90, 2616.75
1200.00,EAudioMood::Action, 0, 1, 40.00, 655.72, 2188.75
1200.00,EAudioMood::Action, 0, 1, 40.00, 795.63, 195.38
1200.00,EAudioMood::Action, 0, 1, 40.00, 2767.25, 1128.50
600.00,EAudioMood::Action, 0, 0, 40.00, 1958.69, 1058.31
600.00,EAudioMood::Action, 0, 0, 20.00, 922.28, 531.39
1200.00,EAudioMood::Action, 0, 1, 20.00, 719.58, 2371.22
1200.00,EAudioMood::Action, 0, 1, 20.00, 1173.13, 2152.35
1200.00,EAudioMood::Action, 0, 1, 20.00, 741.68, 1858.42
1181.35,EAudioMood::Action, 1, 1, 20.00, 1538.66, 3149.45
1200.00,EAudioMood::Action, 0, 1, 20.00, 3317.42, 2173.16
1200.00,EAudioMood::Action, 0, 1, 20.00, 4387.63, 1231.03
1200.00,EAudioMood::Action, 0, 1, 20.00, 4165.72, 2248.67
1200.00,EAudioMood::Action, 0, 1, 20.00, 5107.34, 570.81
863.48,EAudioMood::Action, 0, 1, 20.00, 5470.24, 2674.76
992.59,EAudioMood::Action, 1, 1, 20.00, 5068.02, 1897.93
1200.00,EAudioMood::Action, 0, 1, 20.00, 4003.38, 1234.72
600.00,EAudioMood::Action, 0, 0, 20.00, 2305.27, 2376.87
1200.16,EAudioMood::Action, 1, 1, 20.00, 467.99, 2145.34
1200.00,EAudioMood::Action, 0, 1, 20.00, 1729.97, 2031.69
600.00,EAudioMood::Action, 0, 0, 20.00, 2965.19, 1986.51
282.71,EAudioMood::Action, 0, 0, 20.00, 1790.47, 1907.71
0.00,EAudioMood::Action, 0, 0, 20.00, 1783.86, 1907.74
0.00,EAudioMood::Action, 0, 0, 20.00, 1783.86, 1907.74
0.00,EAudioMood::Calm, 0, 0, 100.00, 900.00, 850.00
600.00,EAudioMood::Calm, 0, 0, 100.00, 815.92, 1370.46
600.00,EAudioMood::Calm, 0, 0, 100.00, 407.47, 2498.83
1200.00,EAudioMood::Tense, 0, 1, 100.00, 1737.72, 3205.31
1258.83,EAudioMood::Tense, 1, 1, 100.00, 2665.16, 1417.10
1217.18,EAudioMood::Tense, 1, 1, 100.00, 1245.34, 162.97
1220.94,EAudioMood::Tense, 1, 1, 100.00, 262.99, 2224.65
1201.15,EAudioMood::Tense, 1, 1, 100.00, 1845.98, 3129.88
1209.40,EAudioMood::Tense, 1, 1, 100.00, 2888.77, 1230.02
1253.65,EAudioMood::Tense, 1, 1, 100.00, 1391.06, 294.50
600.00,EAudioMood::Calm, 0, 0, 100.00, 392.59, 1074.61
618.87,EAudioMood::Calm, 1, 0, 100.00, 341.69, 2271.41
600.37,EAudioMood::Calm, 1, 0, 100.00, 1243.29, 2641.30
611.46,EAudioMood::Calm, 1, 0, 100.00, 1839.43, 1659.30
527.80,EAudioMood::Calm, 1, 0, 100.00, 2306.78, 1774.29
666.12,EAudioMood::Calm, 1, 0, 100.00, 1494.81, 1396.95
630.62,EAudioMood::Tense, 0, 1, 100.00, 701.69, 627.11
1200.33,EAudioMood::Tense, 1, 1, 100.00, 916.51, 2672.26
1206.60,EAudioMood::Tense, 1, 1, 100.00, 2764.48, 2121.27
